,0.01,0.5,1.0,1.5,2.0,2.5,5.0,N,iter,Language
PINV fixed (Gamma) - Cython,4 +/- 3,3 +/- 2,3 +/- 2,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,100000,100,Cython
PINV fixed (ARGUS) - Cython,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,2 +/- 1,100000,100,Cython
PINV fixed (Gamma) - Cython,20 +/- 2,21 +/- 3,20 +/- 2,20 +/- 3,20 +/- 2,21 +/- 3,21 +/- 3,1000000,100,Cython
PINV fixed (ARGUS) - Cython,17 +/- 2,17 +/- 3,17 +/- 2,18 +/- 3,17 +/- 2,17 +/- 3,18 +/- 3,1000000,100,Cython
