,1e-6,0.0001,0.005,0.05,0.5,1.0,2.5,5.0,10.0,N,iter,Language
PINV (Gamma),51 +/- 8,62 +/- 4,62 +/- 3,50 +/- 3,49 +/- 4,44 +/- 4,57 +/- 3,59 +/- 12,57 +/- 3,1000000,100,Cython
RoU shifted (Gamma),112 +/- 5,129 +/- 26,115 +/- 5,109 +/- 6,114 +/- 8,128 +/- 8,140 +/- 5,135 +/- 4,136 +/- 6,1000000,100,Cython
