,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.1
u-error (steps=0),9.658940314238862e-15,5.96189764223709e-14,5.582201367815287e-12,5.577126538369725e-10,5.5770960627476995e-08,5.577103985854315e-06,0.000557789141594045
u-error (steps=1),9.880984919163893e-15,1.0769163338864018e-14,1.0547118733938987e-14,7.438494264988549e-15,1.2434497875801753e-14,8.927658612378764e-11,8.868968418562773e-07
"u-error (steps=1, exact)",1.1879386363489175e-14,1.0547118733938987e-14,1.199040866595169e-14,8.43769498715119e-15,8.104628079763643e-15,1.3743117754927425e-11,1.3686345207153394e-07
"u-error (steps=2, exact)",1.7208456881689926e-14,9.43689570931383e-15,1.0658141036401503e-14,8.659739592076221e-15,5.10702591327572e-15,5.218048215738236e-15,1.5376588891058418e-14
x-error (steps=0),3.865418435582958e-29,2.640475221955771e-26,2.501930547288808e-22,2.500014021508311e-18,2.5000000143626902e-14,2.500001785483172e-10,2.5001779865338296e-06
x-error (steps=1),3.273772756667199e-29,3.736045247126712e-27,3.618915179919496e-25,2.481541837659083e-23,4.235164736271502e-21,2.9760807533640854e-15,2.9622494674211297e-09
"x-error (steps=1, exact)",4.6542793408039697e-29,3.736045247126712e-27,4.006656092053728e-25,2.812414082680294e-23,2.6469779601696886e-21,7.407777462189319e-16,7.378747066480451e-10
"x-error (steps=2, exact)",4.5753932502818685e-29,3.0292258760486853e-27,3.101927297073854e-25,2.812414082680294e-23,1.5881867761018131e-21,1.6940658945086007e-19,1.0408340855860843e-16
